City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,ivolginsk,51.7492,107.2837,33.46,75,40,11.18,RU,1697659289
168,atlantic,39.4668,-74.6663,65.12,70,64,1.99,US,1697659289
169,ilulissat,69.2167,-51.1,15.82,79,75,0.0,GL,1697659290
170,gimbi,9.1667,35.8333,56.32,94,93,2.35,ET,1697659290
171,whitehorse,60.7161,-135.0538,45.37,89,100,13.8,CA,1697659227
172,tralee,52.2704,-9.7026,55.8,97,87,2.98,IE,1697659290
173,mount gambier,-37.8333,140.7667,50.02,52,13,6.55,AU,1697659290
174,utrik,11.2278,169.8474,82.78,77,30,17.31,MH,1697659291
175,eisenstadt,47.8457,16.5233,53.92,71,100,14.54,AT,1697659291
176,six-fours-les-plages,43.0938,5.84,67.51,77,97,5.99,FR,1697659291
177,susuman,62.7833,148.1667,0.99,81,100,1.99,RU,1697659291
178,nelson,-41.2833,173.2833,60.3,88,15,1.01,NZ,1697659000
179,punta arenas,-53.15,-70.9167,59.11,47,0,20.71,CL,1697659016
180,ahfir,34.9537,-2.1003,68.61,78,17,2.37,MA,1697659291
181,lupane,-18.9315,27.807,73.98,43,0,11.97,ZW,1697659292
182,portland,45.5234,-122.6762,70.0,65,7,1.01,US,1697658553
183,viedma,-40.8135,-62.9967,79.34,15,39,17.25,AR,1697659118
184,el granada,37.5027,-122.4694,89.87,55,0,5.75,US,1697659292
185,guerrero negro,27.9769,-114.0611,80.98,42,56,13.51,MX,1697659292
186,la libertad,-2.2333,-80.9,83.86,65,40,14.97,EC,1697659292
187,fort-shevchenko,44.5086,50.263,55.08,58,100,14.72,KZ,1697659293
188,bayganin,48.6947,55.8742,41.43,39,98,2.33,KZ,1697659293
189,griffith,41.5284,-87.4237,66.15,61,100,5.01,US,1697659206
190,anadyr,64.75,177.4833,12.7,78,0,11.18,RU,1697659293
191,imperatriz,-5.5264,-47.4917,98.65,34,20,1.14,BR,1697659293
192,kashmar,35.2383,58.4656,63.57,43,0,7.72,IR,1697659293
193,fortuna,40.5982,-124.1573,59.92,100,75,8.05,US,1697659293
194,lerwick,60.1545,-1.1494,50.0,87,52,23.29,GB,1697659294
195,hadithah,34.1397,42.3781,76.55,36,42,8.19,IQ,1697659294
196,holualoa,19.6228,-155.9522,78.78,76,0,5.01,US,1697659294
197,viransehir,37.2353,39.7631,66.16,53,99,3.24,TR,1697659294
